task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
fig8,reactive,random,240,0.2,149.5,13764.0529,24320.7423,23152.7368,0.9890,23.8,270.0,0.997,0.003,0.000,140.0,0.491,0.6088
fig8,fixed20,random,240,0.2,148.2,26827.9716,60091.0644,54214.9314,0.9990,10.0,281.4,0.000,0.000,0.000,138.8,0.487,0.2390
hover,v3,periodic,240,0.0,174.3,0.0107,0.0787,0.0020,0.2020,4.0,50.2,0.977,0.020,0.003,139.1,0.488,0.0000
hover,reactive,periodic,240,0.0,174.7,0.0104,0.0774,0.0019,0.2010,4.0,123.8,0.191,0.020,0.789,139.4,0.489,0.0000
hover,fixed20,periodic,240,0.0,170.0,0.0104,0.0774,0.0005,0.2000,4.0,119.3,0.000,0.000,0.000,135.7,0.476,0.0000
hover,v3,periodic,240,0.2,170.7,0.7981,5.9089,0.9586,0.2090,5.4,57.6,0.977,0.020,0.003,136.2,0.478,0.0057
hover,reactive,periodic,240,0.2,170.3,1489.9825,3658.9152,3041.9302,0.6620,13.3,203.6,0.669,0.030,0.301,135.9,0.477,0.1516
hover,fixed20,periodic,240,0.2,169.8,3660.1619,8174.3131,7378.0633,1.0000,8.0,224.2,0.000,0.000,0.000,135.5,0.475,0.0000
step,v3,periodic,240,0.0,176.0,0.0183,0.2746,0.0082,0.2020,4.0,50.2,0.977,0.020,0.003,140.5,0.493,0.0000
step,reactive,periodic,240,0.0,175.6,0.0185,0.2803,0.0075,0.2010,4.0,123.8,0.191,0.020,0.789,140.1,0.492,0.0000
step,fixed20,periodic,240,0.0,175.0,0.0184,0.2803,0.0033,0.2000,4.0,123.8,0.000,0.000,0.000,139.7,0.490,0.0000
step,v3,periodic,240,0.2,175.7,0.8367,5.9089,1.3483,0.2090,5.6,61.2,0.977,0.020,0.003,140.2,0.492,0.0110
step,reactive,periodic,240,0.2,176.5,11075.1088,26134.9165,23630.0936,0.8290,15.9,215.9,0.836,0.020,0.144,140.9,0.494,0.2942
step,fixed20,periodic,240,0.2,174.1,3660.5347,8174.8131,7378.5633,1.0000,7.9,233.2,0.000,0.000,0.000,139.0,0.488,0.0000
circle,v3,periodic,240,0.0,174.5,0.2748,1.6275,0.1652,0.2040,4.2,47.3,0.977,0.020,0.003,139.3,0.489,0.0021
